TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power
15/04/2024 00:00:00;233.25;232.39;231.91;232.54;403.42;401.52;403.43;19.94;19.15;20.80;3.70;19.86;19.12;20.94;1.96;-0.81;0.06;4.58;4.34;4.77;13.74;0.40;-0.18;0.01;0.23;4.66;4.43;4.83;13.91
15/04/2024 00:00:10;233.25;232.39;231.91;232.54;403.42;401.52;403.43;19.94;19.15;20.80;3.70;19.86;19.12;20.94;1.96;-0.81;0.06;4.54;4.40;4.76;13.71;0.40;-0.20;0.01;0.23;4.63;4.46;4.84;13.92
15/04/2024 00:00:20;233.18;232.23;231.70;232.27;403.05;400.98;402.87;19.98;19.39;20.73;3.46;19.86;19.41;20.80;1.71;-0.76;0.00;4.57;4.46;4.76;13.80;0.40;-0.20;0.01;0.23;4.63;4.46;4.84;13.92
15/04/2024 00:00:30;233.18;232.23;231.70;232.27;403.05;400.98;402.87;19.98;19.39;20.73;3.46;19.86;19.41;20.80;1.71;-0.76;0.00;4.57;4.46;4.76;13.80;0.43;-0.19;0.01;0.23;4.65;4.51;4.81;13.94
15/04/2024 00:00:40;232.90;231.90;231.29;232.02;402.55;400.37;402.33;19.98;19.38;20.75;3.51;19.92;19.42;20.84;1.83;-0.83;0.03;4.58;4.44;4.74;13.76;0.41;-0.19;0.01;0.23;4.66;4.46;4.80;13.89
15/04/2024 00:00:50;232.82;231.82;231.29;232.02;402.55;400.37;402.33;19.98;19.38;20.75;3.51;19.92;19.42;20.84;1.83;-0.83;0.03;4.58;4.44;4.74;13.76;0.41;-0.19;0.01;0.23;4.66;4.46;4.80;13.89
15/04/2024 00:01:00;232.82;231.82;231.19;231.96;402.66;400.31;402.30;19.95;19.22;20.79;3.67;19.83;19.19;20.82;1.75;-0.80;0.06;4.57;4.42;4.75;13.73;0.41;-0.20;0.01;0.22;4.65;4.46;4.81;13.87
15/04/2024 00:01:10;232.59;231.60;231.01;231.73;402.20;399.97;401.88;19.91;19.25;20.85;3.62;19.83;19.19;20.82;1.75;-0.80;0.06;4.57;4.42;4.75;13.73;0.41;-0.20;0.01;0.22;4.65;4.46;4.81;13.87
15/04/2024 00:01:20;232.59;231.60;231.01;231.73;402.20;399.97;401.88;19.91;19.25;20.85;3.62;19.90;19.22;20.82;1.77;-0.82;0.04;4.53;4.43;4.75;13.72;0.38;-0.18;-0.00;0.19;4.62;4.47;4.81;13.87
15/04/2024 00:01:30;232.83;231.83;231.24;232.00;402.68;400.43;402.33;20.18;19.12;20.80;3.87;19.96;19.02;20.80;1.87;-0.87;0.02;4.53;4.43;4.75;13.72;0.38;-0.18;-0.00;0.19;4.62;4.47;4.81;13.87
15/04/2024 00:01:40;232.83;231.83;231.24;232.00;402.68;400.43;402.33;20.18;19.12;20.80;3.87;19.96;19.02;20.80;1.87;-0.87;0.02;4.57;4.30;4.73;13.49;0.28;-0.19;0.01;0.17;4.59;4.30;4.81;13.69
15/04/2024 00:01:50;232.68;231.94;231.02;231.88;402.67;400.19;402.11;20.05;18.09;20.84;4.55;19.94;17.95;20.81;1.76;-0.86;0.07;4.59;4.10;4.73;13.41;0.39;-0.19;0.01;0.21;4.65;4.30;4.81;13.69
15/04/2024 00:02:00;232.68;231.94;231.02;231.88;402.67;400.19;402.11;20.05;18.09;20.84;4.55;19.94;17.95;20.81;1.76;-0.86;0.07;4.59;4.10;4.73;13.41;0.39;-0.19;0.01;0.21;4.65;4.13;4.82;13.60
15/04/2024 00:02:10;232.50;231.90;230.97;231.61;402.05;399.73;401.80;19.99;17.97;20.84;4.48;19.91;18.12;20.79;1.69;-0.86;0.05;4.54;4.22;4.73;13.49;0.40;-0.20;0.01;0.23;4.68;4.30;4.81;13.76
15/04/2024 00:02:20;232.45;231.52;230.86;231.61;402.04;399.65;401.88;19.99;17.97;20.84;4.48;19.91;18.12;20.79;1.69;-0.86;0.05;4.54;4.22;4.73;13.49;0.40;-0.20;0.01;0.23;4.68;4.30;4.81;13.76
15/04/2024 00:02:30;232.45;231.52;230.86;231.61;402.04;399.65;401.88;19.84;19.16;20.76;3.43;19.64;19.14;20.81;1.72;-0.80;-0.01;4.55;4.40;4.74;13.65;0.38;-0.20;0.00;0.22;4.64;4.45;4.80;13.91
15/04/2024 00:02:40;232.35;231.39;230.81;231.52;401.78;399.61;401.67;20.24;19.41;20.91;3.63;19.98;19.35;20.82;1.83;-0.82;-0.01;4.55;4.40;4.74;13.65;0.38;-0.20;0.00;0.22;4.64;4.45;4.80;13.91
15/04/2024 00:02:50;232.35;231.39;230.81;231.52;401.78;399.61;401.67;20.24;19.41;20.91;3.63;19.98;19.35;20.82;1.83;-0.82;0.09;4.59;4.46;4.73;13.77;0.42;-0.18;0.02;0.22;4.64;4.51;4.81;13.94
15/04/2024 00:03:00;232.63;231.51;230.97;231.71;402.16;399.99;402.17;19.83;19.44;20.87;3.38;19.58;19.46;20.77;1.63;-0.76;0.12;4.51;4.48;4.73;13.76;0.42;-0.18;0.02;0.22;4.64;4.51;4.81;13.94
15/04/2024 00:03:10;232.63;231.51;230.97;231.71;402.16;399.99;402.17;19.83;19.44;20.87;3.38;19.58;19.46;20.77;1.63;-0.76;0.12;4.51;4.48;4.73;13.76;0.41;-0.17;0.01;0.22;4.61;4.53;4.80;13.94
15/04/2024 00:03:20;233.34;231.60;231.11;232.12;403.04;400.17;402.89;19.84;19.60;20.82;3.11;19.72;19.52;20.50;1.72;-0.81;-0.04;4.55;4.53;4.68;13.76;0.41;-0.17;-0.01;0.24;4.63;4.58;4.75;13.94
15/04/2024 00:03:30;233.27;231.61;231.11;232.12;403.04;400.17;402.89;19.84;19.60;20.82;3.11;19.72;19.52;20.50;1.72;-0.81;-0.04;4.55;4.53;4.68;13.76;0.41;-0.17;-0.01;0.24;4.63;4.58;4.75;13.94
15/04/2024 00:03:40;233.27;231.61;231.12;232.00;402.91;400.12;402.78;20.07;19.65;20.53;2.97;19.77;19.62;20.53;1.65;-0.80;-0.21;4.57;4.50;4.67;13.76;0.43;-0.17;-0.01;0.24;4.67;4.54;4.73;13.95
15/04/2024 00:03:50;232.90;231.22;230.76;231.67;402.23;399.44;402.13;19.93;19.65;20.58;3.14;19.87;19.62;20.53;1.65;-0.80;-0.21;4.57;4.50;4.67;13.76;0.43;-0.17;-0.01;0.24;4.67;4.54;4.73;13.95
15/04/2024 00:04:00;232.90;231.22;230.76;231.67;402.23;399.44;402.13;19.93;19.65;20.58;3.14;19.87;19.67;20.56;1.79;-0.75;-0.04;4.60;4.47;4.66;13.65;0.39;-0.17;-0.01;0.25;4.65;4.52;5.18;14.31
15/04/2024 00:04:10;232.72;231.04;230.47;231.40;401.73;399.05;401.59;19.89;19.32;20.99;3.68;19.70;19.34;21.07;1.71;-0.79;0.22;4.60;4.47;4.66;13.65;0.39;-0.17;-0.01;0.25;4.65;4.52;5.18;14.31
15/04/2024 00:04:20;232.72;231.04;230.47;231.40;401.73;399.05;401.59;19.89;19.32;20.99;3.68;19.70;19.34;21.07;1.71;-0.79;0.22;4.58;4.43;4.78;13.78;0.42;-0.18;0.05;0.29;4.64;4.47;4.84;13.97
15/04/2024 00:04:30;232.69;231.16;230.42;231.42;401.66;398.85;401.40;19.59;18.16;21.01;4.30;19.54;18.03;21.03;1.02;-0.82;0.20;4.60;4.11;4.78;13.46;0.43;-0.20;0.04;0.14;4.51;4.14;4.84;13.97
15/04/2024 00:04:40;232.69;231.16;230.42;231.42;401.66;398.85;401.40;19.59;18.16;21.01;4.30;19.54;18.03;21.03;1.02;-0.82;0.20;4.60;4.11;4.78;13.46;0.43;-0.20;0.04;0.14;4.51;4.14;4.83;13.67
15/04/2024 00:04:50;232.53;231.24;230.40;231.42;401.88;398.97;401.63;20.63;17.82;21.04;5.14;20.21;17.79;21.02;1.95;-0.85;0.19;4.60;4.08;4.77;13.44;0.45;-0.19;0.05;0.19;4.63;4.12;4.83;13.56
15/04/2024 00:05:00;232.72;231.50;230.59;231.60;402.37;399.46;402.06;20.08;17.82;21.04;5.14;20.21;17.79;21.02;1.95;-0.85;0.19;4.60;4.08;4.77;13.44;0.45;-0.19;0.05;0.19;4.63;4.12;4.83;13.56
15/04/2024 00:05:10;232.72;231.50;230.59;231.60;402.37;399.46;402.06;20.08;17.70;21.05;5.03;19.78;17.69;20.96;1.56;-0.84;0.22;4.47;4.06;4.77;13.35;0.36;-0.19;0.06;0.26;4.62;4.11;4.85;13.70
15/04/2024 00:05:20;232.92;231.71;230.75;231.65;402.27;399.41;402.15;19.72;17.73;20.95;4.82;19.62;17.68;20.99;1.76;-0.80;0.20;4.47;4.06;4.77;13.35;0.36;-0.19;0.06;0.26;4.62;4.11;4.85;13.70
15/04/2024 00:05:30;232.92;231.71;230.75;231.65;402.27;399.41;402.15;19.72;17.73;20.95;4.82;19.62;17.68;20.99;1.76;-0.80;0.20;4.57;4.06;4.77;13.34;0.38;-0.19;0.05;0.24;4.59;4.11;4.84;13.52
15/04/2024 00:05:40;232.56;231.36;230.55;231.49;401.65;399.04;401.48;19.96;17.70;20.95;4.81;19.87;17.66;20.97;1.73;-0.85;0.20;4.56;4.06;4.77;13.40;0.43;-0.19;0.05;0.24;4.59;4.11;4.84;13.52
15/04/2024 00:05:50;232.56;231.36;230.55;231.49;401.65;399.04;401.48;19.96;17.70;20.95;4.81;19.87;17.66;20.97;1.73;-0.85;0.20;4.56;4.06;4.77;13.40;0.43;-0.19;0.05;0.30;4.67;4.10;4.83;13.56
15/04/2024 00:06:00;232.84;231.71;230.87;231.69;402.20;399.58;401.97;20.00;17.68;20.95;5.02;19.92;17.69;20.94;1.97;-0.83;0.21;4.54;4.12;4.76;13.35;0.32;-0.18;0.05;0.22;4.59;4.21;4.83;13.61
15/04/2024 00:06:10;233.32;231.61;230.86;231.69;402.20;399.58;401.97;20.00;17.68;20.95;5.02;19.92;17.69;20.94;1.97;-0.83;0.21;4.54;4.12;4.76;13.35;0.32;-0.18;0.05;0.22;4.59;4.21;4.83;13.61
15/04/2024 00:06:20;233.32;231.61;230.86;231.93;402.69;399.80;402.63;20.71;19.15;20.98;3.66;19.67;19.15;20.99;1.56;-0.82;0.19;4.57;4.42;4.77;13.83;0.51;-0.18;0.01;0.21;4.61;4.47;4.84;13.90
