TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power
09/04/2024 00:00:04;227.12;228.23;229.76;228.37;395.34;394.30;396.86;35.14;33.91;23.18;16.96;31.47;31.16;23.03;15.63;13.41;-1.38;7.70;7.08;5.24;19.54;3.67;3.05;-0.32;6.39;7.96;7.71;5.28;20.46
09/04/2024 00:00:14;227.12;228.23;229.76;228.37;395.34;394.30;396.86;35.14;33.91;23.18;16.96;31.47;31.16;23.03;15.63;13.41;-1.38;7.70;7.08;5.24;19.54;3.67;3.05;-0.32;6.39;8.16;7.72;5.31;20.70
09/04/2024 00:00:24;226.55;227.73;229.31;227.84;394.38;393.57;396.11;35.98;33.87;23.07;17.70;32.33;31.10;22.98;16.13;13.30;-1.42;7.27;7.07;5.24;19.52;3.66;3.03;-0.36;6.37;8.18;7.72;5.29;20.70
09/04/2024 00:00:34;226.80;227.79;229.53;228.16;394.95;394.01;396.11;35.98;33.87;23.07;17.70;32.33;31.10;22.98;16.13;13.30;-1.42;7.27;7.07;5.24;19.52;3.66;3.03;-0.36;6.37;8.18;7.72;5.29;20.70
09/04/2024 00:00:44;226.75;227.79;229.53;228.16;394.95;394.01;396.51;34.75;33.82;23.01;16.75;31.34;31.03;22.95;15.00;13.29;-1.44;7.05;7.03;5.21;19.29;3.40;3.03;-0.33;6.10;7.88;7.70;5.29;20.41
09/04/2024 00:00:54;226.75;228.15;229.63;228.28;395.28;394.14;396.71;34.67;33.59;23.44;16.58;31.33;30.85;23.44;15.01;13.37;-1.44;7.05;7.03;5.21;19.29;3.40;3.03;-0.33;6.10;7.88;7.70;5.29;20.41
09/04/2024 00:01:04;226.75;228.15;229.63;228.28;395.28;394.14;396.71;34.67;33.59;23.44;16.58;31.33;30.85;23.44;15.01;13.37;-1.27;7.09;6.99;5.32;19.41;3.42;3.05;-0.31;6.20;7.92;7.69;5.40;20.57
09/04/2024 00:01:14;227.24;228.18;229.65;228.39;395.53;394.29;396.89;34.73;33.76;23.53;16.40;31.27;31.09;23.42;15.04;13.37;-1.25;7.06;7.07;5.33;19.47;3.42;3.05;-0.31;6.20;7.92;7.69;5.40;20.57
09/04/2024 00:01:24;227.24;228.18;229.65;228.39;395.53;394.29;396.89;34.73;33.76;23.53;16.40;31.27;31.09;23.42;15.04;13.37;-1.25;7.06;7.07;5.33;19.47;3.42;3.05;-0.28;6.19;7.89;7.74;5.38;20.55
09/04/2024 00:01:34;227.16;228.06;229.55;228.26;395.32;394.07;396.82;34.73;33.98;23.35;16.33;31.32;31.14;23.42;15.06;13.33;-1.20;7.06;7.07;5.31;19.44;3.42;3.05;-0.28;6.19;7.90;7.74;5.37;20.53
09/04/2024 00:01:44;227.14;228.15;229.63;228.31;395.32;394.07;396.82;34.73;33.98;23.35;16.33;31.32;31.14;23.42;15.06;13.33;-1.20;7.06;7.07;5.31;19.44;3.42;3.05;-0.28;6.19;7.90;7.74;5.37;20.53
09/04/2024 00:01:54;227.14;228.15;229.63;228.31;395.35;394.20;396.83;34.74;33.61;23.37;16.52;31.30;30.81;23.37;15.04;13.40;-1.26;7.06;6.98;5.31;19.35;3.41;3.05;-0.28;6.19;7.88;7.67;5.36;20.46
09/04/2024 00:02:04;227.24;228.33;229.70;228.40;395.56;394.38;396.82;34.69;33.63;23.43;16.44;31.22;30.89;23.37;15.04;13.40;-1.26;7.06;6.98;5.31;19.35;3.41;3.05;-0.28;6.19;7.88;7.67;5.36;20.46
09/04/2024 00:02:14;227.24;228.33;229.70;228.40;395.56;394.38;396.82;34.69;33.63;23.43;16.44;31.22;30.89;23.40;15.06;13.39;-1.24;7.04;7.02;5.31;19.37;3.41;3.07;-0.29;6.19;7.90;7.70;5.38;20.51
09/04/2024 00:02:24;226.89;228.01;229.54;228.15;395.10;394.14;396.63;34.77;33.61;23.37;16.60;31.33;30.78;23.36;15.05;13.33;-1.27;7.06;7.02;5.31;19.37;3.41;3.07;-0.29;6.19;7.90;7.70;5.38;20.51
09/04/2024 00:02:34;226.89;228.01;229.54;228.15;395.10;394.14;396.63;34.77;33.61;23.37;16.60;31.33;30.78;23.36;15.05;13.33;-1.27;7.06;6.99;5.31;19.35;3.41;3.06;-0.29;6.19;7.88;7.66;5.37;20.45
09/04/2024 00:02:44;227.00;228.10;229.68;228.25;395.10;394.21;396.64;34.78;33.61;23.43;16.78;31.33;30.69;23.33;15.04;13.40;-1.22;7.05;6.98;5.30;19.30;3.41;3.05;-0.29;6.19;7.90;7.66;5.37;20.45
09/04/2024 00:02:54;227.00;228.10;229.68;228.25;395.10;394.21;396.64;34.78;33.61;23.43;16.78;31.33;30.69;23.33;15.04;13.40;-1.22;7.05;6.98;5.30;19.30;3.41;3.05;-0.29;6.19;7.90;7.66;5.38;20.39
09/04/2024 00:03:04;226.79;227.89;229.30;228.06;394.97;393.74;396.29;34.75;33.52;23.37;16.64;31.45;30.77;23.41;15.05;13.37;-1.21;7.06;6.97;5.34;19.39;3.41;3.04;-0.27;6.18;7.88;7.63;5.39;20.44
09/04/2024 00:03:14;226.75;227.81;229.18;227.92;394.68;393.42;396.02;34.75;33.52;23.37;16.64;31.45;30.77;23.41;15.05;13.37;-1.21;7.06;6.97;5.34;19.39;3.41;3.04;-0.27;6.18;7.88;7.63;5.39;20.44
09/04/2024 00:03:24;226.75;227.81;229.18;227.92;394.68;393.42;396.02;34.75;33.63;23.40;16.44;31.32;30.96;23.35;15.03;13.32;-1.26;7.05;7.02;5.30;19.36;3.41;3.04;-0.28;6.15;7.87;7.69;5.39;20.52
09/04/2024 00:03:34;226.72;227.87;229.31;228.00;394.80;393.76;396.12;34.64;33.49;23.36;16.54;31.35;30.81;23.39;14.99;13.34;-1.29;7.05;7.02;5.30;19.36;3.41;3.04;-0.28;6.15;7.87;7.69;5.39;20.52
09/04/2024 00:03:44;226.72;227.87;229.31;228.00;394.80;393.76;396.12;34.64;33.49;23.36;16.54;31.35;30.81;23.39;14.99;13.34;-1.29;7.02;6.99;5.31;19.32;3.40;3.05;-0.29;6.17;7.85;7.65;5.37;20.42
09/04/2024 00:03:54;226.97;228.09;229.45;228.17;395.07;393.78;396.34;34.62;33.46;23.39;16.52;31.21;30.64;23.30;14.98;13.37;-1.23;7.04;6.95;5.30;19.28;3.40;3.05;-0.29;6.17;7.85;7.65;5.37;20.42
09/04/2024 00:04:04;226.97;228.09;229.45;228.17;395.07;393.78;396.34;34.62;33.46;23.39;16.52;31.21;30.64;23.30;14.98;13.37;-1.23;7.04;6.95;5.30;19.28;3.42;3.04;-0.28;6.18;7.87;7.64;5.36;20.39
09/04/2024 00:04:14;227.08;228.06;229.55;228.22;395.13;394.02;397.04;34.68;33.43;23.38;16.55;31.20;30.61;23.44;15.06;13.31;-1.21;7.04;6.96;5.31;19.28;3.41;3.05;-0.28;6.15;7.87;7.64;5.38;20.41
09/04/2024 00:04:24;227.06;228.22;229.55;228.22;395.13;394.02;397.04;34.68;33.43;23.38;16.55;31.20;30.61;23.44;15.06;13.31;-1.21;7.04;6.96;5.31;19.28;3.41;3.05;-0.28;6.15;7.87;7.64;5.38;20.41
09/04/2024 00:04:34;227.06;228.22;229.72;228.37;395.40;394.36;396.86;34.70;33.49;23.35;16.53;31.17;30.68;23.29;15.05;13.39;-1.23;7.04;6.95;5.30;19.28;3.43;3.05;-0.31;6.17;7.89;7.63;5.37;20.42
09/04/2024 00:04:44;227.53;228.51;230.10;228.71;395.63;394.56;397.31;34.67;33.41;23.33;16.53;31.17;30.68;23.29;15.05;13.39;-1.23;7.04;6.95;5.30;19.28;3.43;3.05;-0.31;6.17;7.89;7.63;5.37;20.42
09/04/2024 00:04:54;227.53;228.51;230.10;228.71;395.63;394.56;397.31;34.67;33.41;23.33;16.52;31.19;30.79;23.34;15.09;13.40;-1.23;7.05;6.99;5.31;19.34;3.43;3.07;-0.27;6.22;7.88;7.66;5.39;20.45
09/04/2024 00:05:04;227.19;228.18;229.96;228.50;395.43;394.61;397.17;34.75;33.55;23.39;16.38;31.21;30.76;23.41;15.06;13.35;-1.20;7.05;6.99;5.31;19.34;3.43;3.07;-0.27;6.22;7.88;7.66;5.39;20.45
09/04/2024 00:05:14;227.19;228.18;229.96;228.50;395.43;394.61;397.17;34.75;33.55;23.39;16.38;31.21;30.76;23.41;15.06;13.35;-1.20;7.04;6.96;5.31;19.31;3.40;3.05;-0.28;6.17;7.86;7.66;5.39;20.46
09/04/2024 00:05:24;227.14;228.18;229.84;228.39;395.27;394.35;396.91;34.71;33.54;23.44;16.44;31.12;30.83;23.32;15.00;13.37;-1.26;7.04;7.03;5.30;19.34;3.41;3.04;-0.34;6.17;7.86;7.66;5.39;20.46
09/04/2024 00:05:34;227.14;228.18;229.84;228.39;395.27;394.35;396.91;34.71;33.54;23.44;16.44;31.12;30.83;23.32;15.00;13.37;-1.26;7.04;7.03;5.30;19.34;3.41;3.04;-0.34;6.10;7.85;7.69;5.37;20.47
09/04/2024 00:05:44;227.00;228.08;229.65;228.25;395.10;394.27;396.81;34.62;33.57;23.39;16.47;31.25;30.84;23.30;14.99;13.36;-1.22;7.03;6.98;5.29;19.32;3.41;3.04;-0.27;6.07;7.86;7.64;5.30;20.29
09/04/2024 00:05:54;226.85;227.82;229.53;228.12;394.84;394.27;396.81;34.62;33.57;23.39;16.47;31.25;30.84;23.30;14.99;13.36;-1.22;7.03;6.98;5.29;19.32;3.41;3.04;-0.27;6.07;7.86;7.64;5.30;20.29
09/04/2024 00:06:04;226.85;227.82;229.53;228.12;394.84;393.88;396.61;34.66;33.55;23.03;16.91;31.32;30.76;22.89;14.97;13.33;-1.49;7.04;6.97;5.24;19.25;3.40;3.04;-0.35;6.08;7.88;7.65;5.31;20.36
09/04/2024 00:06:14;226.85;227.86;229.49;228.07;394.69;393.61;396.34;34.72;33.41;23.00;16.83;31.21;30.77;22.89;14.97;13.33;-1.49;7.04;6.97;5.24;19.25;3.40;3.04;-0.35;6.08;7.88;7.65;5.31;20.36
09/04/2024 00:06:24;226.85;227.86;229.49;228.07;394.69;393.61;396.34;34.72;33.41;23.00;16.83;31.21;30.77;22.97;15.00;13.37;-1.56;7.03;6.96;5.22;19.23;3.41;3.03;-0.34;6.11;7.86;7.64;5.28;20.31
09/04/2024 00:06:34;227.39;228.35;230.00;228.64;395.93;394.65;397.61;33.84;33.38;23.07;16.09;30.39;30.66;22.86;14.57;13.36;-1.46;6.88;6.96;5.22;19.23;3.41;3.03;-0.34;6.11;7.86;7.64;5.28;20.31
09/04/2024 00:06:44;227.39;228.35;230.00;228.64;395.93;394.65;397.61;33.84;33.38;23.07;16.09;30.39;30.66;22.86;14.57;13.36;-1.46;6.88;6.96;5.21;19.05;3.32;3.06;-0.35;6.03;7.67;7.65;5.29;20.13
09/04/2024 00:06:54;227.29;228.06;229.82;228.39;395.42;394.24;397.06;33.70;33.45;22.69;16.27;30.42;30.68;22.75;14.52;13.34;-1.60;6.88;6.96;5.15;19.01;3.32;3.05;-0.44;5.99;7.69;7.67;5.24;20.13
09/04/2024 00:07:04;227.59;228.06;229.82;228.39;395.42;394.24;397.06;33.70;33.45;22.69;16.27;30.42;30.68;22.75;14.52;13.34;-1.60;6.88;6.96;5.15;19.01;3.32;3.05;-0.44;5.99;7.69;7.67;5.24;20.10
09/04/2024 00:07:14;227.59;228.51;230.14;228.66;395.97;394.81;397.32;33.76;33.53;22.98;16.31;30.40;30.67;22.87;14.57;13.35;-1.74;6.86;6.97;5.20;19.03;3.31;3.06;-0.39;5.98;7.67;7.67;5.28;20.11
09/04/2024 00:07:24;226.88;227.89;229.40;228.05;395.09;393.87;396.41;33.69;33.47;22.98;16.31;30.40;30.67;22.87;14.57;13.35;-1.74;6.86;6.97;5.20;19.03;3.31;3.06;-0.39;5.98;7.67;7.67;5.28;20.11
09/04/2024 00:07:34;226.88;227.89;229.40;228.05;395.09;393.87;396.41;33.69;33.47;22.87;16.28;30.42;30.76;22.81;14.49;13.34;-1.89;6.87;6.95;5.18;19.01;3.30;3.04;-0.40;5.93;7.66;7.63;5.26;20.08
09/04/2024 00:07:44;227.51;228.46;230.02;228.66;395.99;394.75;397.27;33.71;33.67;22.91;16.35;30.49;30.80;22.83;14.57;13.39;-1.73;6.87;6.95;5.18;19.01;3.30;3.04;-0.40;5.93;7.66;7.63;5.26;20.08
09/04/2024 00:07:54;227.51;228.46;230.02;228.66;395.99;394.75;397.27;33.71;33.67;22.91;16.35;30.49;30.80;22.83;14.57;13.39;-1.73;6.88;6.99;5.18;19.03;3.31;3.06;-0.43;5.93;7.66;7.69;5.27;20.14
09/04/2024 00:08:04;227.46;228.33;229.86;228.53;395.76;394.49;397.15;33.81;33.57;23.06;16.47;30.51;30.85;22.88;14.56;13.40;-1.71;6.88;6.98;5.23;19.06;3.31;3.05;-0.40;5.93;7.66;7.69;5.27;20.14
